year,month,country,num_sources,num_articles,total_words
2012,10,GH,5,390,235387
2012,10,HK,12,82,60642
2012,10,IE,54,1647,926968
2012,10,IN,159,6090,3561796
2012,10,JM,3,434,294264
2012,10,KE,14,661,336508
2012,10,LK,10,137,76620
2012,10,MY,12,516,327579
2012,10,NG,19,734,652102
2012,10,NZ,55,1700,890728
2012,10,PH,24,1137,641449
2012,10,PK,24,1094,647368
2012,10,SG,22,483,196692
2012,10,TZ,1,140,72473
2012,10,US,1318,8222,7690424
2012,10,ZA,62,3158,1977417
2012,11,AU,146,2757,1871478
2012,11,BD,5,144,83826
2012,11,CA,386,9833,6860938
2012,11,GB,628,8243,5597121
2012,11,GH,5,375,217454
2012,11,HK,11,69,56095
2012,11,IE,54,1725,981322
2012,11,IN,157,5311,3211458
2012,11,JM,4,402,257326
2012,11,KE,14,704,338593
2012,11,LK,10,74,51842
2012,11,MY,12,429,281028
2012,11,NG,20,739,665294
2012,11,NZ,58,1747,882622
2012,11,PH,21,1180,654854
2012,11,PK,21,875,553355
2012,11,SG,22,477,207595
2012,11,TZ,2,132,76142
2012,11,US,1276,7608,7251678
2012,11,ZA,63,2817,1723448
2012,12,AU,149,2236,1372329
2012,12,BD,5,156,145899
2012,12,CA,381,8087,5674767
2012,12,GB,576,6973,4800677
2012,12,GH,3,283,163473
2012,12,HK,10,67,55731
2012,12,IE,57,1474,807330
2012,12,IN,156,5579,3365381
2012,12,JM,3,442,313904
2012,12,KE,13,695,331972
2012,12,LK,9,58,40583
2012,12,MY,13,462,303762
2012,12,NG,23,702,634585
2012,12,NZ,51,1388,744176
2012,12,PH,25,996,563323
2012,12,PK,23,909,552059
2012,12,SG,18,353,146199
2012,12,TZ,2,145,91637
2012,12,US,1275,7862,7409449
2012,12,ZA,55,1909,1206595
2013,1,AU,150,3024,1886497
2013,1,BD,5,268,143315
2013,1,CA,314,8780,6172184
2013,1,GB,577,8758,5794781
2013,1,GH,6,365,201764
2013,1,HK,15,81,54910
2013,1,IE,53,2165,1156474
2013,1,IN,154,5910,3456278
2013,1,JM,3,411,282526
2013,1,KE,20,906,437635
2013,1,LK,12,112,67224
2013,1,MY,14,477,306117
2013,1,NG,23,794,664576
2013,1,NZ,37,1713,873596
2013,1,PH,20,1075,559983
2013,1,PK,22,906,527605
